Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional,Rnd,Pick,Tm,Pos,Age,To,1st_Team_AllPro,Pro_Bowl,Years_As_Starter,Weighted_Aprox_Value,DrAV,G,Pass_Completed,Pass_Attempts,Pass_Yards,Pass_TDs,Interceptions_Thrown,Rush_Attempts,Rush_Yards,Rush_TDs,Receptions,Receiving_Yards,Receiving_Touchdowns,Solo_Tackles,Interceptions,Sack,-9999
Tyler Allgeier,5-11,224,4.6,33.0,,120.0,,,AllgTy00,5,151,ATL,RB,22,2022.0,0,0,0,8.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,210.0,1035.0,3.0,16.0,139.0,1.0,2.0,,,AllgTy00
Troy Andersen,6-4,243,4.42,36.0,,128.0,,,AndeTr00,2,58,ATL,LB,23,2022.0,0,0,0,3.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,,,AndeTr00
Tycen Anderson,6-2,209,4.36,35.5,,123.0,6.64,4.28,AndeTy00,5,166,CIN,S,23,,0,0,0,,,,,,,,,,,,,,,,,,AndeTy00
Matt Araiza,6-1,200,4.68,32.0,,121.0,,,AraiMa00,6,180,BUF,P,22,,0,0,0,,,,,,,,,,,,,,,,,,AraiMa00
Jalyn Armour-Davis,6-1,197,4.39,34.5,14.0,,,,ArmoJa00,4,119,BAL,DB,23,2022.0,0,0,0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,ArmoJa00
Brian Asamoah,6-0,226,4.56,36.5,,124.0,,,AsamBr00,3,66,MIN,LB,22,2022.0,0,0,0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,,AsamBr00
Calvin Austin,5-8,170,4.32,39.0,,135.0,6.65,4.07,AustCa00,4,138,PIT,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,AustCa00
Tyler Badie,5-8,197,4.45,33.5,,121.0,,,BadiTy00,6,196,BAL,RB,22,2022.0,0,0,0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,24.0,1.0,,,,BadiTy00
Kalon Barnes,6-0,183,4.23,,,,,,BarnKa00,7,242,CAR,CB,23,2022.0,0,0,0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,BarnKa00
Darrian Beavers,6-4,237,,36.5,,125.0,6.91,,BeavDa00,6,182,NYG,LB,23,,0,0,0,,,,,,,,,,,,,,,,,,BeavDa00
David Bell,6-1,212,4.65,33.0,,118.0,7.14,4.57,BellDa02,3,99,CLE,WR,21,2022.0,0,0,0,2.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,214.0,0.0,1.0,,,BellDa02
Daniel Bellinger,6-5,253,4.63,34.5,22.0,125.0,7.05,4.47,BellDa00,4,112,NYG,TE,21,2022.0,0,0,1,3.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,30.0,268.0,2.0,,,,BellDa00
Dane Belton,6-1,205,4.43,36.5,,123.0,7.01,4.24,BeltDa00,4,114,NYG,DB,21,2022.0,0,0,0,3.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,,BeltDa00
Terrel Bernard,6-1,224,,35.5,22.0,123.0,7.03,4.25,BernTe00,3,89,BUF,LB,23,2022.0,0,0,0,2.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,,BernTe00
Nik Bonitto,6-3,248,4.54,35.5,,120.0,7.07,4.23,BoniNi00,2,64,DEN,OLB,22,2022.0,0,0,0,2.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,1.5,BoniNi00
Thomas Booker,6-3,301,4.94,,,110.0,7.33,4.41,BookTh00,5,150,HOU,DE,22,2022.0,0,0,0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,0.5,BookTh00
Andrew Booth,6-0,194,,,,,,,BootAn00,2,42,MIN,CB,21,2022.0,0,0,0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,,BootAn00
Jaquan Brisker,6-1,199,4.49,34.5,22.0,124.0,,,BrisJa01,2,48,CHI,S,23,2022.0,0,0,1,4.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,1.0,4.0,BrisJa01
Montaric Brown,6-0,196,4.55,,,,,,BrowMo00,7,222,JAX,DB,23,2022.0,0,0,0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,BrowMo00
Logan Bruss,6-5,309,5.32,31.0,,112.0,7.57,4.55,BrusLo00,3,104,LAR,OL,22,,0,0,0,,,,,,,,,,,,,,,,,,BrusLo00
Coby Bryant,6-1,193,4.54,,17.0,,,,BryaCo01,4,109,SEA,CB,23,2022.0,0,0,0,2.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,,2.0,BryaCo01
Spencer Burford,6-4,304,5.19,27.5,,105.0,,4.73,BurfSp00,4,134,SFO,OL,23,2022.0,0,0,1,7.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,BurfSp00
Treylon Burks,6-2,225,4.55,33.0,,122.0,7.28,,BurkTr00,1,18,TEN,WR,22,2022.0,0,0,0,4.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,47.0,0.0,33.0,444.0,1.0,,,,BurkTr00
Matthew Butler,6-4,297,5.0,32.0,17.0,112.0,7.89,4.81,ButlMa02,5,175,LVR,DT,23,2022.0,0,0,0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.5,ButlMa02
